District,Month,Total_Waste_Tons,PET_Tons,HDPE_Tons,PVC_Tons,LDPE_Tons,PP_Tons,PS_Tons
Ariyalur,2022-05,1077.19,269.3,161.58,107.72,215.44,215.44,107.72
Ariyalur,2022-06,776.68,194.17,116.5,77.67,155.34,155.34,77.67
Ariyalur,2022-07,804.56,201.14,120.68,80.46,160.91,160.91,80.46
Ariyalur,2022-08,713.17,178.29,106.98,71.32,142.63,142.63,71.32
Ariyalur,2022-09,1077.64,269.41,161.65,107.76,215.53,215.53,107.76
Ariyalur,2022-10,1356.25,339.06,203.44,135.63,271.25,271.25,135.63
Ariyalur,2022-11,1203.61,300.9,180.54,120.36,240.72,240.72,120.36
Ariyalur,2022-12,911.99,228.0,136.8,91.2,182.4,182.4,91.2
Ariyalur,2023-01,1090.97,272.74,163.64,109.1,218.19,218.19,109.1
Ariyalur,2023-02,1104.34,276.08,165.65,110.43,220.87,220.87,110.43
Ariyalur,2023-03,1194.22,298.55,179.13,119.42,238.84,238.84,119.42
Ariyalur,2023-04,677.5,169.37,101.62,67.75,135.5,135.5,67.75
Ariyalur,2023-05,974.33,243.58,146.15,97.43,194.87,194.87,97.43
Ariyalur,2023-06,863.88,215.97,129.58,86.39,172.78,172.78,86.39
Ariyalur,2023-07,828.79,207.2,124.32,82.88,165.76,165.76,82.88
Ariyalur,2023-08,1170.18,292.54,175.53,117.02,234.04,234.04,117.02
Ariyalur,2023-09,827.3,206.83,124.1,82.73,165.46,165.46,82.73
Ariyalur,2023-10,990.89,247.72,148.63,99.09,198.18,198.18,99.09
Ariyalur,2023-11,1140.06,285.01,171.01,114.01,228.01,228.01,114.01
Ariyalur,2023-12,709.42,177.36,106.41,70.94,141.88,141.88,70.94
Ariyalur,2024-01,1225.19,306.3,183.78,122.52,245.04,245.04,122.52
Ariyalur,2024-02,1059.81,264.95,158.97,105.98,211.96,211.96,105.98
Ariyalur,2024-03,991.22,247.81,148.68,99.12,198.24,198.24,99.12
Ariyalur,2024-04,1123.13,280.78,168.47,112.31,224.63,224.63,112.31
Ariyalur,2024-05,1122.11,280.53,168.32,112.21,224.42,224.42,112.21
Ariyalur,2024-06,812.75,203.19,121.91,81.27,162.55,162.55,81.27
Ariyalur,2024-07,1002.9,250.73,150.44,100.29,200.58,200.58,100.29
Ariyalur,2024-08,857.56,214.39,128.63,85.76,171.51,171.51,85.76
Ariyalur,2024-09,1310.08,327.52,196.51,131.01,262.02,262.02,131.01
Ariyalur,2024-10,1594.25,398.56,239.14,159.43,318.85,318.85,159.43
Ariyalur,2024-11,1428.04,357.01,214.21,142.8,285.61,285.61,142.8
Ariyalur,2024-12,994.4,248.6,149.16,99.44,198.88,198.88,99.44
Chengalpattu,2018-01,1909.23,477.31,286.38,190.92,381.85,381.85,190.92
Chengalpattu,2018-02,1311.2,327.8,196.68,131.12,262.24,262.24,131.12
Chengalpattu,2018-03,1341.81,335.45,201.27,134.18,268.36,268.36,134.18
Chengalpattu,2018-04,1741.11,435.28,261.17,174.11,348.22,348.22,174.11
Chengalpattu,2018-05,1670.29,417.57,250.54,167.03,334.06,334.06,167.03
Chengalpattu,2018-06,1510.76,377.69,226.61,151.08,302.15,302.15,151.08
Chengalpattu,2018-07,1606.53,401.63,240.98,160.65,321.31,321.31,160.65
Chengalpattu,2018-08,1941.0,485.25,291.15,194.1,388.2,388.2,194.1
Chengalpattu,2018-09,1284.99,321.25,192.75,128.5,257.0,257.0,128.5
Chengalpattu,2018-10,1885.97,471.49,282.9,188.6,377.19,377.19,188.6
Chengalpattu,2018-11,2323.21,580.8,348.48,232.32,464.64,464.64,232.32
Chengalpattu,2018-12,1693.67,423.42,254.05,169.37,338.73,338.73,169.37
Chengalpattu,2019-01,1375.23,343.81,206.28,137.52,275.05,275.05,137.52
Chengalpattu,2019-02,1776.77,444.19,266.52,177.68,355.35,355.35,177.68
Chengalpattu,2019-03,2122.15,530.54,318.32,212.21,424.43,424.43,212.21
Chengalpattu,2019-04,1669.12,417.28,250.37,166.91,333.82,333.82,166.91
Chengalpattu,2019-05,1175.34,293.83,176.3,117.53,235.07,235.07,117.53
Chengalpattu,2019-06,1817.32,454.33,272.6,181.73,363.46,363.46,181.73
Chengalpattu,2019-07,1667.37,416.84,250.11,166.74,333.47,333.47,166.74
Chengalpattu,2019-08,1824.02,456.0,273.6,182.4,364.8,364.8,182.4
Chengalpattu,2019-09,1744.59,436.15,261.69,174.46,348.92,348.92,174.46
Chengalpattu,2019-10,2459.65,614.91,368.95,245.97,491.93,491.93,245.97
Chengalpattu,2019-11,2077.38,519.34,311.61,207.74,415.48,415.48,207.74
Chengalpattu,2019-12,1208.31,302.08,181.25,120.83,241.66,241.66,120.83
Chengalpattu,2020-01,1928.59,482.15,289.29,192.86,385.72,385.72,192.86
Chengalpattu,2020-02,1438.94,359.74,215.84,143.89,287.79,287.79,143.89
Chengalpattu,2020-03,1341.59,335.4,201.24,134.16,268.32,268.32,134.16
Chengalpattu,2020-04,1311.28,327.82,196.69,131.13,262.26,262.26,131.13
Chengalpattu,2020-05,1392.67,348.17,208.9,139.27,278.53,278.53,139.27
Chengalpattu,2020-06,1522.18,380.54,228.33,152.22,304.44,304.44,152.22
Chengalpattu,2020-07,1464.04,366.01,219.61,146.4,292.81,292.81,146.4
Chengalpattu,2020-08,1127.69,281.92,169.15,112.77,225.54,225.54,112.77
Chengalpattu,2020-09,1716.94,429.24,257.54,171.69,343.39,343.39,171.69
Chengalpattu,2020-10,2511.96,627.99,376.79,251.2,502.39,502.39,251.2
Chengalpattu,2020-11,1938.71,484.68,290.81,193.87,387.74,387.74,193.87
Chengalpattu,2020-12,1145.55,286.39,171.83,114.55,229.11,229.11,114.55
Chengalpattu,2021-01,1692.1,423.03,253.82,169.21,338.42,338.42,169.21
Chengalpattu,2021-02,1655.39,413.85,248.31,165.54,331.08,331.08,165.54
Chengalpattu,2021-03,1471.93,367.98,220.79,147.19,294.39,294.39,147.19
Chengalpattu,2021-04,1160.55,290.14,174.08,116.05,232.11,232.11,116.05
Chengalpattu,2021-05,1313.46,328.36,197.02,131.35,262.69,262.69,131.35
Chengalpattu,2021-06,1263.19,315.8,189.48,126.32,252.64,252.64,126.32
Chengalpattu,2021-07,1564.95,391.24,234.74,156.5,312.99,312.99,156.5
Chengalpattu,2021-08,1201.33,300.33,180.2,120.13,240.27,240.27,120.13
Chengalpattu,2021-09,1615.67,403.92,242.35,161.57,323.13,323.13,161.57
Chengalpattu,2021-10,2065.31,516.33,309.8,206.53,413.06,413.06,206.53
Chengalpattu,2021-11,2243.73,560.93,336.56,224.37,448.75,448.75,224.37
Chengalpattu,2021-12,1406.55,351.64,210.98,140.66,281.31,281.31,140.66
Chengalpattu,2022-01,1922.26,480.57,288.34,192.23,384.45,384.45,192.23
Chengalpattu,2022-02,1160.11,290.03,174.02,116.01,232.02,232.02,116.01
Chengalpattu,2022-03,1320.61,330.15,198.09,132.06,264.12,264.12,132.06
Chengalpattu,2022-04,1828.33,457.08,274.25,182.83,365.67,365.67,182.83
Chengalpattu,2022-05,1272.29,318.07,190.84,127.23,254.46,254.46,127.23
Chengalpattu,2022-06,1918.35,479.59,287.75,191.84,383.67,383.67,191.84
Chengalpattu,2022-07,1491.53,372.88,223.73,149.15,298.31,298.31,149.15
Chengalpattu,2022-08,1357.2,339.3,203.58,135.72,271.44,271.44,135.72
Chengalpattu,2022-09,1598.89,399.72,239.83,159.89,319.78,319.78,159.89
Chengalpattu,2022-10,2064.51,516.13,309.68,206.45,412.9,412.9,206.45
Chengalpattu,2022-11,1792.65,448.16,268.9,179.27,358.53,358.53,179.27
Chengalpattu,2022-12,1544.5,386.13,231.68,154.45,308.9,308.9,154.45
Chengalpattu,2023-01,1178.59,294.65,176.79,117.86,235.72,235.72,117.86
Chengalpattu,2023-02,1565.12,391.28,234.77,156.51,313.02,313.02,156.51
Chengalpattu,2023-03,2199.68,549.92,329.95,219.97,439.94,439.94,219.97
Chengalpattu,2023-04,2122.69,530.67,318.4,212.27,424.54,424.54,212.27
Chengalpattu,2023-05,1209.15,302.29,181.37,120.92,241.83,241.83,120.92
Chengalpattu,2023-06,1821.02,455.26,273.15,182.1,364.2,364.2,182.1
Chengalpattu,2023-07,1324.13,331.03,198.62,132.41,264.83,264.83,132.41
Chengalpattu,2023-08,1689.47,422.37,253.42,168.95,337.89,337.89,168.95
Chengalpattu,2023-09,1188.89,297.22,178.33,118.89,237.78,237.78,118.89
Chengalpattu,2023-10,1417.57,354.39,212.63,141.76,283.51,283.51,141.76
Chengalpattu,2023-11,2171.48,542.87,325.72,217.15,434.3,434.3,217.15
Chengalpattu,2023-12,2190.15,547.54,328.52,219.01,438.03,438.03,219.01
Chengalpattu,2024-01,1636.81,409.2,245.52,163.68,327.36,327.36,163.68
Chengalpattu,2024-02,1501.24,375.31,225.19,150.12,300.25,300.25,150.12
Chengalpattu,2024-03,2097.13,524.28,314.57,209.71,419.43,419.43,209.71
Chengalpattu,2024-04,2136.01,534.0,320.4,213.6,427.2,427.2,213.6
Chengalpattu,2024-05,1651.17,412.79,247.68,165.12,330.23,330.23,165.12
Chengalpattu,2024-06,1656.66,414.17,248.5,165.67,331.33,331.33,165.67
Chengalpattu,2024-07,1644.2,411.05,246.63,164.42,328.84,328.84,164.42
Chengalpattu,2024-08,2219.4,554.85,332.91,221.94,443.88,443.88,221.94
Chengalpattu,2024-09,1666.88,416.72,250.03,166.69,333.38,333.38,166.69
Chengalpattu,2024-10,2577.76,644.44,386.66,257.78,515.55,515.55,257.78
Chengalpattu,2024-11,2581.52,645.38,387.23,258.15,516.3,516.3,258.15
Chengalpattu,2024-12,1159.93,289.98,173.99,115.99,231.99,231.99,115.99
Chennai,2018-01,7241.59,1810.4,1086.24,724.16,1448.32,1448.32,724.16
Chennai,2018-02,4283.31,1070.83,642.5,428.33,856.66,856.66,428.33
Chennai,2018-03,4539.73,1134.93,680.96,453.97,907.95,907.95,453.97
Chennai,2018-04,5897.79,1474.45,884.67,589.78,1179.56,1179.56,589.78
Chennai,2018-05,7759.53,1939.88,1163.93,775.95,1551.91,1551.91,775.95
Chennai,2018-06,6485.64,1621.41,972.85,648.56,1297.13,1297.13,648.56
Chennai,2018-07,4746.09,1186.52,711.91,474.61,949.22,949.22,474.61
Chennai,2018-08,4943.97,1235.99,741.6,494.4,988.79,988.79,494.4
Chennai,2018-09,4806.52,1201.63,720.98,480.65,961.3,961.3,480.65
Chennai,2018-10,8463.39,2115.85,1269.51,846.34,1692.68,1692.68,846.34
Chennai,2018-11,8922.48,2230.62,1338.37,892.25,1784.5,1784.5,892.25
Chennai,2018-12,4836.85,1209.21,725.53,483.69,967.37,967.37,483.69
Chennai,2019-01,5579.68,1394.92,836.95,557.97,1115.94,1115.94,557.97
Chennai,2019-02,5197.07,1299.27,779.56,519.71,1039.41,1039.41,519.71
Chennai,2019-03,6461.02,1615.26,969.15,646.1,1292.2,1292.2,646.1
Chennai,2019-04,6792.95,1698.24,1018.94,679.29,1358.59,1358.59,679.29
Chennai,2019-05,6425.92,1606.48,963.89,642.59,1285.18,1285.18,642.59
Chennai,2019-06,5411.7,1352.93,811.76,541.17,1082.34,1082.34,541.17
Chennai,2019-07,6407.4,1601.85,961.11,640.74,1281.48,1281.48,640.74
Chennai,2019-08,4668.84,1167.21,700.33,466.88,933.77,933.77,466.88
Chennai,2019-09,7346.6,1836.65,1101.99,734.66,1469.32,1469.32,734.66
Chennai,2019-10,7186.17,1796.54,1077.93,718.62,1437.23,1437.23,718.62
Chennai,2019-11,8275.66,2068.91,1241.35,827.57,1655.13,1655.13,827.57
Chennai,2019-12,6516.72,1629.18,977.51,651.67,1303.34,1303.34,651.67
Chennai,2020-01,4423.04,1105.76,663.46,442.3,884.61,884.61,442.3
Chennai,2020-02,6698.75,1674.69,1004.81,669.87,1339.75,1339.75,669.87
Chennai,2020-03,7823.54,1955.89,1173.53,782.35,1564.71,1564.71,782.35
Chennai,2020-04,6640.05,1660.01,996.01,664.0,1328.01,1328.01,664.0
Chennai,2020-05,4497.85,1124.46,674.68,449.78,899.57,899.57,449.78
Chennai,2020-06,3758.67,939.67,563.8,375.87,751.73,751.73,375.87
Chennai,2020-07,3891.88,972.97,583.78,389.19,778.38,778.38,389.19
Chennai,2020-08,4204.14,1051.03,630.62,420.41,840.83,840.83,420.41
Chennai,2020-09,6621.5,1655.37,993.22,662.15,1324.3,1324.3,662.15
Chennai,2020-10,8517.12,2129.28,1277.57,851.71,1703.42,1703.42,851.71
Chennai,2020-11,4969.09,1242.27,745.36,496.91,993.82,993.82,496.91
Chennai,2020-12,5143.02,1285.76,771.45,514.3,1028.6,1028.6,514.3
Chennai,2021-01,8047.63,2011.91,1207.14,804.76,1609.53,1609.53,804.76
Chennai,2021-02,4015.34,1003.83,602.3,401.53,803.07,803.07,401.53
Chennai,2021-03,6489.78,1622.44,973.47,648.98,1297.96,1297.96,648.98
Chennai,2021-04,7825.92,1956.48,1173.89,782.59,1565.18,1565.18,782.59
Chennai,2021-05,5855.07,1463.77,878.26,585.51,1171.01,1171.01,585.51
Chennai,2021-06,6024.65,1506.16,903.7,602.46,1204.93,1204.93,602.46
Chennai,2021-07,3981.9,995.47,597.28,398.19,796.38,796.38,398.19
Chennai,2021-08,6577.15,1644.29,986.57,657.71,1315.43,1315.43,657.71
Chennai,2021-09,6379.39,1594.85,956.91,637.94,1275.88,1275.88,637.94
Chennai,2021-10,5159.21,1289.8,773.88,515.92,1031.84,1031.84,515.92
Chennai,2021-11,7906.09,1976.52,1185.91,790.61,1581.22,1581.22,790.61
Chennai,2021-12,7869.84,1967.46,1180.48,786.98,1573.97,1573.97,786.98
Chennai,2022-01,4154.97,1038.74,623.25,415.5,830.99,830.99,415.5
Chennai,2022-02,6298.21,1574.55,944.73,629.82,1259.64,1259.64,629.82
Chennai,2022-03,8094.71,2023.68,1214.21,809.47,1618.94,1618.94,809.47
Chennai,2022-04,4428.72,1107.18,664.31,442.87,885.74,885.74,442.87
Chennai,2022-05,6577.6,1644.4,986.64,657.76,1315.52,1315.52,657.76
Chennai,2022-06,3770.42,942.61,565.56,377.04,754.08,754.08,377.04
Chennai,2022-07,5313.29,1328.32,796.99,531.33,1062.66,1062.66,531.33
Chennai,2022-08,6225.64,1556.41,933.85,622.56,1245.13,1245.13,622.56
Chennai,2022-09,7462.12,1865.53,1119.32,746.21,1492.42,1492.42,746.21
Chennai,2022-10,6824.35,1706.09,1023.65,682.43,1364.87,1364.87,682.43
Chennai,2022-11,6586.75,1646.69,988.01,658.67,1317.35,1317.35,658.67
Chennai,2022-12,7434.7,1858.68,1115.21,743.47,1486.94,1486.94,743.47
Chennai,2023-01,4226.01,1056.5,633.9,422.6,845.2,845.2,422.6
Chennai,2023-02,4525.54,1131.39,678.83,452.55,905.11,905.11,452.55
Chennai,2023-03,6964.32,1741.08,1044.65,696.43,1392.86,1392.86,696.43
Chennai,2023-04,5518.06,1379.52,827.71,551.81,1103.61,1103.61,551.81
Chennai,2023-05,5343.72,1335.93,801.56,534.37,1068.74,1068.74,534.37
Chennai,2023-06,6771.85,1692.96,1015.78,677.18,1354.37,1354.37,677.18
Chennai,2023-07,6909.3,1727.33,1036.4,690.93,1381.86,1381.86,690.93
Chennai,2023-08,8364.44,2091.11,1254.67,836.44,1672.89,1672.89,836.44
Chennai,2023-09,7520.36,1880.09,1128.05,752.04,1504.07,1504.07,752.04
Chennai,2023-10,8921.19,2230.3,1338.18,892.12,1784.24,1784.24,892.12
Chennai,2023-11,8595.09,2148.77,1289.26,859.51,1719.02,1719.02,859.51
Chennai,2023-12,5332.97,1333.24,799.95,533.3,1066.59,1066.59,533.3
Chennai,2024-01,7961.02,1990.25,1194.15,796.1,1592.2,1592.2,796.1
Chennai,2024-02,7531.8,1882.95,1129.77,753.18,1506.36,1506.36,753.18
Chennai,2024-03,4253.52,1063.38,638.03,425.35,850.7,850.7,425.35
Chennai,2024-04,7197.21,1799.3,1079.58,719.72,1439.44,1439.44,719.72
Chennai,2024-05,7010.74,1752.68,1051.61,701.07,1402.15,1402.15,701.07
Chennai,2024-06,5337.89,1334.47,800.68,533.79,1067.58,1067.58,533.79
Chennai,2024-07,7620.3,1905.08,1143.05,762.03,1524.06,1524.06,762.03
Chennai,2024-08,6505.58,1626.4,975.84,650.56,1301.12,1301.12,650.56
Chennai,2024-09,7755.97,1938.99,1163.4,775.6,1551.19,1551.19,775.6
Chennai,2024-10,7624.11,1906.03,1143.62,762.41,1524.82,1524.82,762.41
Chennai,2024-11,5447.75,1361.94,817.16,544.77,1089.55,1089.55,544.77
Chennai,2024-12,5217.21,1304.3,782.58,521.72,1043.44,1043.44,521.72
Coimbatore,2018-01,4270.18,1067.54,640.53,427.02,854.04,854.04,427.02
Coimbatore,2018-02,3260.4,815.1,489.06,326.04,652.08,652.08,326.04
Coimbatore,2018-03,4211.18,1052.8,631.68,421.12,842.24,842.24,421.12
Coimbatore,2018-04,5462.47,1365.62,819.37,546.25,1092.49,1092.49,546.25
Coimbatore,2018-05,3135.56,783.89,470.33,313.56,627.11,627.11,313.56
Coimbatore,2018-06,5025.33,1256.33,753.8,502.53,1005.07,1005.07,502.53
Coimbatore,2018-07,5228.7,1307.17,784.3,522.87,1045.74,1045.74,522.87
Coimbatore,2018-08,5279.07,1319.77,791.86,527.91,1055.81,1055.81,527.91
Coimbatore,2018-09,2821.36,705.34,423.2,282.14,564.27,564.27,282.14
Coimbatore,2018-10,4852.07,1213.02,727.81,485.21,970.41,970.41,485.21
Coimbatore,2018-11,6135.06,1533.77,920.26,613.51,1227.01,1227.01,613.51
Coimbatore,2018-12,3063.69,765.92,459.55,306.37,612.74,612.74,306.37
Coimbatore,2019-01,4518.53,1129.63,677.78,451.85,903.71,903.71,451.85
Coimbatore,2019-02,5203.23,1300.81,780.48,520.32,1040.65,1040.65,520.32
Coimbatore,2019-03,2987.67,746.92,448.15,298.77,597.53,597.53,298.77
Coimbatore,2019-04,5016.66,1254.17,752.5,501.67,1003.33,1003.33,501.67
Coimbatore,2019-05,4985.04,1246.26,747.76,498.5,997.01,997.01,498.5
Coimbatore,2019-06,3404.22,851.06,510.63,340.42,680.84,680.84,340.42
Coimbatore,2019-07,2785.56,696.39,417.83,278.56,557.11,557.11,278.56
Coimbatore,2019-08,5840.75,1460.19,876.11,584.07,1168.15,1168.15,584.07
Coimbatore,2019-09,4983.69,1245.92,747.55,498.37,996.74,996.74,498.37
Coimbatore,2019-10,6937.15,1734.29,1040.57,693.71,1387.43,1387.43,693.71
Coimbatore,2019-11,4194.86,1048.72,629.23,419.49,838.97,838.97,419.49
Coimbatore,2019-12,3680.24,920.06,552.04,368.02,736.05,736.05,368.02
Coimbatore,2020-01,4454.63,1113.66,668.19,445.46,890.93,890.93,445.46
Coimbatore,2020-02,5088.19,1272.05,763.23,508.82,1017.64,1017.64,508.82
Coimbatore,2020-03,5187.26,1296.82,778.09,518.73,1037.45,1037.45,518.73
Coimbatore,2020-04,3966.04,991.51,594.91,396.6,793.21,793.21,396.6
Coimbatore,2020-05,4750.28,1187.57,712.54,475.03,950.06,950.06,475.03
Coimbatore,2020-06,4359.66,1089.92,653.95,435.97,871.93,871.93,435.97
Coimbatore,2020-07,3529.69,882.42,529.45,352.97,705.94,705.94,352.97
Coimbatore,2020-08,5159.77,1289.94,773.97,515.98,1031.95,1031.95,515.98
Coimbatore,2020-09,3150.54,787.64,472.58,315.05,630.11,630.11,315.05
Coimbatore,2020-10,4055.37,1013.84,608.31,405.54,811.07,811.07,405.54
Coimbatore,2020-11,3956.53,989.13,593.48,395.65,791.31,791.31,395.65
Coimbatore,2020-12,4707.74,1176.93,706.16,470.77,941.55,941.55,470.77
Coimbatore,2021-01,4950.26,1237.57,742.54,495.03,990.05,990.05,495.03
Coimbatore,2021-02,3533.82,883.46,530.07,353.38,706.76,706.76,353.38
Coimbatore,2021-03,3039.1,759.78,455.87,303.91,607.82,607.82,303.91
Coimbatore,2021-04,5525.46,1381.37,828.82,552.55,1105.09,1105.09,552.55
Coimbatore,2021-05,5176.11,1294.03,776.42,517.61,1035.22,1035.22,517.61
Coimbatore,2021-06,2798.93,699.73,419.84,279.89,559.79,559.79,279.89
Coimbatore,2021-07,3826.98,956.74,574.05,382.7,765.4,765.4,382.7
Coimbatore,2021-08,4981.86,1245.47,747.28,498.19,996.37,996.37,498.19
Coimbatore,2021-09,3370.08,842.52,505.51,337.01,674.02,674.02,337.01
Coimbatore,2021-10,3921.83,980.46,588.27,392.18,784.37,784.37,392.18
Coimbatore,2021-11,6462.13,1615.53,969.32,646.21,1292.43,1292.43,646.21
Coimbatore,2021-12,5750.2,1437.55,862.53,575.02,1150.04,1150.04,575.02
Coimbatore,2022-01,3685.13,921.28,552.77,368.51,737.03,737.03,368.51
Coimbatore,2022-02,3794.1,948.53,569.12,379.41,758.82,758.82,379.41
Coimbatore,2022-03,5838.7,1459.67,875.8,583.87,1167.74,1167.74,583.87
Coimbatore,2022-04,5650.69,1412.67,847.6,565.07,1130.14,1130.14,565.07
Coimbatore,2022-05,4969.05,1242.26,745.36,496.9,993.81,993.81,496.9
Coimbatore,2022-06,2760.7,690.17,414.1,276.07,552.14,552.14,276.07
Coimbatore,2022-07,5239.12,1309.78,785.87,523.91,1047.82,1047.82,523.91
Coimbatore,2022-08,5524.05,1381.01,828.61,552.41,1104.81,1104.81,552.41
Coimbatore,2022-09,4398.7,1099.67,659.8,439.87,879.74,879.74,439.87
Coimbatore,2022-10,6644.7,1661.18,996.71,664.47,1328.94,1328.94,664.47
Coimbatore,2022-11,5718.91,1429.73,857.84,571.89,1143.78,1143.78,571.89
Coimbatore,2022-12,4718.39,1179.6,707.76,471.84,943.68,943.68,471.84
Coimbatore,2023-01,4780.91,1195.23,717.14,478.09,956.18,956.18,478.09
Coimbatore,2023-02,2910.24,727.56,436.54,291.02,582.05,582.05,291.02
Coimbatore,2023-03,4307.05,1076.76,646.06,430.7,861.41,861.41,430.7
Coimbatore,2023-04,3564.39,891.1,534.66,356.44,712.88,712.88,356.44
Coimbatore,2023-05,5175.4,1293.85,776.31,517.54,1035.08,1035.08,517.54
Coimbatore,2023-06,3137.86,784.46,470.68,313.79,627.57,627.57,313.79
Coimbatore,2023-07,4523.93,1130.98,678.59,452.39,904.79,904.79,452.39
Coimbatore,2023-08,4042.59,1010.65,606.39,404.26,808.52,808.52,404.26
Coimbatore,2023-09,3453.7,863.43,518.06,345.37,690.74,690.74,345.37
Coimbatore,2023-10,5682.17,1420.54,852.33,568.22,1136.43,1136.43,568.22
Coimbatore,2023-11,4762.41,1190.6,714.36,476.24,952.48,952.48,476.24
Coimbatore,2023-12,4271.33,1067.83,640.7,427.13,854.27,854.27,427.13
Coimbatore,2024-01,4351.34,1087.84,652.7,435.13,870.27,870.27,435.13
Coimbatore,2024-02,5834.61,1458.65,875.19,583.46,1166.92,1166.92,583.46
Coimbatore,2024-03,5867.92,1466.98,880.19,586.79,1173.58,1173.58,586.79
Coimbatore,2024-04,3448.45,862.11,517.27,344.84,689.69,689.69,344.84
Coimbatore,2024-05,4026.56,1006.64,603.98,402.66,805.31,805.31,402.66
Coimbatore,2024-06,3913.05,978.26,586.96,391.3,782.61,782.61,391.3
Coimbatore,2024-07,4547.38,1136.85,682.11,454.74,909.48,909.48,454.74
Coimbatore,2024-08,4183.87,1045.97,627.58,418.39,836.77,836.77,418.39
Coimbatore,2024-09,3952.41,988.1,592.86,395.24,790.48,790.48,395.24
